model,file_id,total_gold_facts,total_gen_facts,omission_rate,contradiction_rate,addition_rate,total_error_score
o3,day3_consultation08.txt,17,30,0.1765,0.0,0.5333,0.7098
o3,day3_consultation09.txt,22,35,0.0909,0.0286,0.6857,0.8051999999999999
o3,day3_consultation10.txt,25,28,0.16,0.1071,0.2143,0.4814
o3,day4_consultation01.txt,19,32,0.4737,0.0,0.5938,1.0675
o3,day4_consultation02.txt,28,34,0.5357,0.0882,0.3529,0.9767999999999999
o3,day4_consultation03.txt,17,24,0.7059,0.0417,0.75,1.4975999999999998
o3,day4_consultation04.txt,17,17,0.5294,0.0,0.5882,1.1176
o3,day4_consultation05.txt,20,32,0.6,0.0625,0.5938,1.2563
o3,day4_consultation06.txt,32,30,0.0625,0.0333,0.3333,0.4291
o3,day4_consultation07.txt,22,29,0.2273,0.2069,0.4483,0.8825000000000001
o3,day4_consultation08.txt,23,25,0.1304,0.0,0.4,0.5304
o3,day4_consultation09.txt,27,36,0.1481,0.0,0.4444,0.5925
o3,day4_consultation10.txt,27,27,0.3333,0.1111,0.5556,1.0
o3,day5_consultation01.txt,39,32,0.359,0.0938,0.25,0.7028
o3,day5_consultation02.txt,27,29,0.1481,0.0,0.2069,0.355
o3,day5_consultation03.txt,31,27,0.3226,0.037,0.3333,0.6929
o3,day5_consultation04.txt,30,26,0.3,0.0769,0.5,0.8769
o3,day5_consultation05.txt,26,27,0.3846,0.037,0.2963,0.7179
o3,day5_consultation06.txt,36,37,0.1389,0.027,0.2432,0.4091
o3,day5_consultation07.txt,34,37,0.5294,0.0,0.5946,1.124
o3,day5_consultation08.txt,35,34,0.2,0.1471,0.1176,0.4647
o3,day5_consultation10.txt,35,29,0.4,0.1034,0.4138,0.9172
o3,day5_consultation11.txt,39,36,0.3077,0.0556,0.2778,0.6411
o3,day5_consultation12.txt,29,21,0.4483,0.0,0.7143,1.1626
