model,file_id,error_category,detailed_type,section,reasoning
gpt-4.1,day5_consultation02.txt,HALLUCINATION,ADDITION,hpi,Gold hpi-011 notes no past history of urine infections or similar symptoms; generated hpi-009 states no prior similar episodes but does not include infection history. The phrasing is partially overlapping but the generated fact omits UTI history and is not a direct restatement; considered an addition of how the history is summarized.
gpt-4.1,day5_consultation02.txt,HALLUCINATION,PARTIAL,hpi,"Gold hpi-010: no obvious trigger and specifically no history of dehydration/frequent intercourse as triggers. Generated hpi-010: no recent triggers for current urinary symptoms, which captures the general 'no obvious trigger' but omits the specific dehydration/frequent SI detail. This is only partially supported and lacks full coverage."
gpt-4.1,day5_consultation02.txt,HALLUCINATION,PARTIAL,hpi,"Gold hpi-006: no new PV discharge, implying focus on new changes. Generated: denies vaginal discharge (no temporal qualifier). Partially consistent, but it overgeneralizes and loses the 'new' nuance."
gpt-4.1,day5_consultation02.txt,HALLUCINATION,ADDITION,hpi,Regular periods are not mentioned anywhere in gold facts; purely additional information.
gpt-4.1,day5_consultation02.txt,HALLUCINATION,ADDITION,pmh,"Gold only states no past history of urine infections/similar symptoms, not broader urinary tract/kidney disorders. This is extra information."
gpt-4.1,day5_consultation02.txt,HALLUCINATION,CONTRADICTION,med,Gold: Mebeverine 200 mg TDS. Generated: Mebavin 200 mg TID. Different drug name and dosing abbreviation; this misrepresents the documented medication.
gpt-4.1,day5_consultation02.txt,HALLUCINATION,ADDITION,pe,"Gold facts include no physical exam section at all. Stating that no vitals or exam are documented is an inference, not grounded in the provided gold text."
gpt-4.1,day5_consultation02.txt,HALLUCINATION,ADDITION,asm,Gold recognizes IBS in PMH but does not state it is stable or that there is no change in bowel habits as an assessment statement. This is an interpretive addition.
gpt-4.1,day5_consultation02.txt,HALLUCINATION,CONTRADICTION,plan,Gold: Nitrofurantoin 3-day course. Generated: unspecified empirical antibiotic 3-day course. Omits the named drug and thereby conflicts with the specific agent documented.
gpt-4.1,day5_consultation02.txt,HALLUCINATION,ADDITION,plan,Oral urinary alkalinizer sachets are not mentioned anywhere in gold plan; purely additional.
gpt-4.1,day5_consultation02.txt,HALLUCINATION,ADDITION,plan,"Gold follow-up mentions fever, back pain, persistent symptoms, recurrent episodes, and monitoring temperature with thermometer, but does not list urinary retention or this specific red-flag education phrasing. Thus this is additional content."
gpt-4.1,day5_consultation02.txt,HALLUCINATION,PARTIAL,fu,"Gold fu-001: contact clinic if fever, back pain, persistent symptoms, or recurrent episodes. Generated fu-001: follow up if recurrent symptoms or lack of resolution. It captures persistent and recurrent aspects but omits specific triggers like fever/back pain and the instruction to contact the clinic; thus only partially supported."
gpt-4.1,day5_consultation03.txt,OMISSION,OMITTED,hpi,Gold: two‑month history of feeling anxious all the time. Generated HPI mentions daily morning anxiety/fear leaving house but not a two‑month duration or feeling anxious ‘all the time’.
gpt-4.1,day5_consultation03.txt,OMISSION,OMITTED,hpi,Gold: early‑morning waking (EMW). Generated only notes prolonged sleep onset and short total sleep; EMW specifically is not described.
gpt-4.1,day5_consultation03.txt,OMISSION,OMITTED,hpi,"Gold: tired during the day. Generated facts do not mention daytime tiredness/fatigue directly, only low energy and poor sleep."
gpt-4.1,day5_consultation03.txt,OMISSION,OMITTED,ros,Gold: no panic attacks. Generated facts do not mention panic attacks.
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,cc,"Gold only notes anxiety symptoms as PC. Generated adds worsening over past 2 months, which is not specified in the chief complaint; duration appears in HPI but not as ‘worsened’. Thus this is an addition, though consistent."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,hpi,No gold fact states specifically ‘daily morning anxiety and fear leaving house.’ Gold mentions dread going to work; fear leaving house and specifying daily morning anxiety is new detail not explicitly in gold.
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,hpi,"Supported by gold onset with new job and pressure from boss, but generated adds specific industry (fashion retail) and that boss is not supportive—details not in gold."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,hpi,"Gold supports prolonged sleep onset and 3–4 hours sleep, but ‘shallow’ sleep is not stated in gold; that aspect is an addition."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,hpi,Gold: irregular palpitations with chest discomfort and duration 2–10 minutes and rapid beat. Generated adds they occur mainly in the morning and ‘sometimes’ chest discomfort. Morning predominance is additional detail; ‘sometimes’ chest discomfort slightly qualifies the gold but not a direct contradiction.
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,hpi,Persistent low mood is supported by ‘low mood most of the time’; the specific statement that it is ‘worsened by work’ is not in gold and is added.
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,hpi,"Gold: previously enjoyed running, tennis, socialising; still sees friends but often avoids. Generated: difficulty engaging with friends and hobbies (running, tennis less frequent), increased social avoidance. All consistent but adds ‘less frequent’ and phrasing of ‘difficulty engaging’, which are interpretive expansions."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,hpi,"Gold: not missed work. Generated: has not missed work but dreads attending (supported by hpi‑003) and fears escalation of symptoms/work difficulties, which is extra anticipatory fear not in gold."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,hpi,Gold: public transport anxiety provoking. Generated adds nuance: no avoidance of all public spaces; ‘tube/public transport stressful.’ The ‘no avoidance of all public spaces’ is new detail.
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,hpi,"Gold mentions no previous psych history/significant anxiety but does not discuss prior therapy specifically, discussion with mother, or openness to 1:1 therapy. These are new psychosocial details."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,sh,"Gold: drinks Fri/Sat, sometimes overdoes it. Generated: above recommended limits on weekends (consistent) and adds ‘occasional wine midweek’ which is not in gold."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,pe,Gold facts provide no information about physical exam/vitals. Generated states that no findings are documented; this is a meta‑comment not derivable from gold facts alone.
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,asm,"Supported by gold work‑related anxiety, dread of work, palpitations, no work absence, and denied SI. However, ‘significant morning anticipatory anxiety,’ ‘functional impairment’ wording, and explicit consolidation of ‘no avoidance of work’ as part of the assessment add interpretive detail beyond gold."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,CONTRADICTION,asm,"Gold: palpitations with chest discomfort (no qualifier that chest pain is absent). Generated: ‘no associated chest pain, rare chest discomfort.’ Introducing ‘no chest pain’ and ‘rare’ chest discomfort conflicts with gold’s unqualified mention of chest discomfort as an associated symptom."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,plan,"Gold: advised self‑referral to NHS talking therapies. Generated: plan is to refer to NHS talking therapy (CBT). Mode of access differs (self‑referral vs clinician referral) and CBT specificity; CBT is supported by plan‑002 gold, but combining them as a single referral plan and changing self‑referral to referral is added/altered detail."
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,plan,Gold does not mention discussing sleep hygiene or providing such information; this is a new element of the care plan.
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,plan,Gold plan only mentions that the patient should book blood tests via support team and when to contact the clinic if worse; it does not specify a GP follow‑up one week post‑bloods. This follow‑up timing is new.
gpt-4.1,day5_consultation03.txt,HALLUCINATION,ADDITION,fu,Gold follow‑up only says to contact if symptoms worsen or unable to cope with work; it does not state a scheduled GP follow‑up one week after blood tests. Thus this is an added specific follow‑up arrangement.
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,cc,"Gold: abdominal pain (periumbilical, by context of HPI). Generated CC describes lower abdominal midline pain below the umbilicus and adds duration; this location differs from periumbilical pain and is not a clear restatement, so the exact gold CC fact is not captured."
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,hpi,"Gold: constant periumbilical pain that is worsening. Generated HPI does not mention periumbilical location or explicitly state that the pain is constant and worsening; the only pain description is in the CC and refers to lower abdominal pain below the umbilicus, which is not periumbilical."
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,hpi,"Gold: pain severity 8/10. Generated 8/10 pain appears only in the Chief Complaint, not in the HPI section. As this evaluation is section-specific, the HPI gold fact is not captured in the HPI-generated facts."
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,hpi,Gold: some difficulty passing urine. Generated facts repeatedly say no urinary symptoms (HPI-009) and do not mention difficulty passing urine. This conflicts with the gold but does not capture it.
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,hpi,Gold: LMP 2 weeks ago. Generated facts only say bleeding since last period 2–3 weeks ago and irregular periods; they do not clearly and specifically state that LMP was 2 weeks ago.
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,hpi,"Gold: last foreign travel 1 year ago. Generated SH-004 says no travel within the past year, which is not equivalent (gold allows travel exactly 1 year ago). Thus the gold fact is not correctly captured."
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,ros,Gold: has not checked temp and does not feel feverish. Generated HPI-009 only states no fever; it does not mention not checking temperature or 'does not feel feverish'. Those nuances are absent.
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,ros,Gold: not feeling faint. Generated facts do not address presyncope/feeling faint at all.
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,med,Gold: no regular medications. Generated only mentions Implanon; it does not explicitly state that there are no other regular medications.
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,allergy,Gold: allergic to amoxicillin. Generated allergy-001 documents an unclear allergy 'Ami/Ammo/Excellent' and does not clearly identify amoxicillin. Thus the specific gold allergy is not captured.
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,sh,"Gold: has been able to work as usual. Generated facts do not explicitly state continued ability to work as usual, only that she works as a teacher."
gpt-4.1,day5_consultation04.txt,OMISSION,OMITTED,asm,"Gold: assessment of abdominal pain of unclear cause. Generated assessments specify ?gynecological etiology; they do not preserve the 'unclear cause' concept but instead propose a likely cause, so this gold impression is not captured."
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,cc,"Gold CC only states abdominal pain. Generated adds location (lower abdomen below umbilicus), duration (over few days), and pain score. Location also differs from periumbilical description in gold HPI, but gold CC itself lacks these details, so this is additional detail, partly inconsistent with HPI."
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,hpi,Gold notes light PV bleeding and LMP 2 weeks ago but does not specify 'since last period (2–3 weeks ago)' or 'not normal menses.' These are new details not present in gold.
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,hpi,Regular sexual intercourse is not mentioned in any gold fact; this is new information.
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,hpi,Gold does not mention that periods have been irregular since Implanon; only LMP timing is given. This is added detail.
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,hpi,Gold has no information on last pregnancy test or number of pregnancies. This is new information.
gpt-4.1,day5_consultation04.txt,HALLUCINATION,CONTRADICTION,hpi,"Generated: denies fever, SOB, shoulder pain, urinary symptoms, weight loss, hematuria/melena. Gold: denies SOB and shoulder tip pain and not feeling feverish, so those components agree. However, gold HPI-004 reports some difficulty passing urine, while ROS-001 only denies dysuria/frequency. 'No urinary symptoms' contradicts the documented difficulty passing urine. Weight loss and hematuria/melena are additions."
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,hpi,"Gold ROS-003: eating and drinking okay. Generated adds 'ADLs normal,' which is not specified in gold; that portion is additional."
gpt-4.1,day5_consultation04.txt,HALLUCINATION,CONTRADICTION,allergy,"Gold: allergic to amoxicillin. Generated: unclear allergy 'Ami/Ammo/Excellent' without specifying amoxicillin. This fails to identify the clear amoxicillin allergy and implies uncertainty where gold is specific, so it contradicts the clarity of the gold fact."
gpt-4.1,day5_consultation04.txt,HALLUCINATION,CONTRADICTION,sh,Gold: last foreign travel 1 year ago. Generated: no travel within the past year. Saying no travel within past year conflicts with having traveled 1 year ago.
gpt-4.1,day5_consultation04.txt,HALLUCINATION,CONTRADICTION,asm,"Gold assessment: abdominal pain ? cause (unclear etiology). Generated: suggests a possible gynecological etiology related to Implanon and irregular bleeding. This replaces the 'unclear cause' with a specific suspected cause, contradicting the gold impression that the cause is unknown."
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,asm,Gold assessment does not separately list light vaginal bleeding or tie it to Implanon in the assessment. This is a more detailed problem list item not present in gold.
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,asm,Gold assessment only lists abdominal pain of unclear cause. A separate assessment item for history of constipation now resolved is not present in gold and is additional problem structuring.
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,plan,Gold states an urgent exam is booked but does not mention a support line arranging the appointment. The mechanism (support line) is additional administrative detail.
gpt-4.1,day5_consultation04.txt,HALLUCINATION,PARTIAL_SUPPORT,plan,"Gold follow-up: get in touch if pain worse or new symptoms. Generated: return if symptoms worsen or unable to tolerate fluids. Worsening symptoms is supported; 'unable to tolerate fluids' is extra, and 'new symptoms' is omitted. Hence partially supported and partially additional."
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,pe,Gold facts do not mention whether an examination was or was not performed. This is new information.
gpt-4.1,day5_consultation04.txt,HALLUCINATION,ADDITION,pe,Gold facts do not address availability of vital signs or diagnostics. This is additional.
gpt-4.1,day5_consultation05.txt,OMISSION,OMITTED,cc,Gold CC only states abdominal pain as chief complaint; generated CC adds duration and hot/sweaty sensation. The exact gold wording is not reproduced anywhere without additional elements.
gpt-4.1,day5_consultation05.txt,OMISSION,OMITTED,ros,Gold: patient denies back pain. There is no generated fact explicitly denying back pain.
gpt-4.1,day5_consultation05.txt,OMISSION,OMITTED,ros,"Gold: patient denies dysuria/frequency. Generated hpi-007 denies dysuria and hpi-006 reports mild increase in urinary frequency, which contradicts the gold denial of frequency. Therefore the gold combined denial is not correctly captured anywhere."
gpt-4.1,day5_consultation05.txt,OMISSION,OMITTED,ros,Gold: patient denies blood in stool. No generated fact addresses blood in stool.
gpt-4.1,day5_consultation05.txt,OMISSION,OMITTED,ros,Gold: patient denies dyspepsia. Generated facts deny acid reflux but not dyspepsia specifically; they are related but not equivalent in strict auditing.
gpt-4.1,day5_consultation05.txt,OMISSION,OMITTED,pmh,Gold: PMH nil. Generated pmh-001: 'no significant PMH aside from usual colds/flus.' This adds conditions and changes the exact sense of 'nil'; thus gold statement is not strictly reproduced.
gpt-4.1,day5_consultation05.txt,OMISSION,OMITTED,sh,Gold: no recreational drugs. No generated fact mentions drug use status.
gpt-4.1,day5_consultation05.txt,OMISSION,OMITTED,sh,"Gold: drinks 1 beer 4 times per week. Generated sh-002: averages four beers per week, which could be consumed differently; this changes the pattern detail, so the exact gold statement is not fully captured."
gpt-4.1,day5_consultation05.txt,OMISSION,OMITTED,fu,"Gold: call back if develops temperature, persistent/worsening pain, or recurrent similar symptoms. Generated follow-up emphasizes urgent review if worsening pain, fever, back pain, new/worsening symptoms, or no improvement/recurrence; it does not mention 'call back' to the same provider and adds back pain/new symptoms. It alters the follow-up modality and content."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,cc,"Gold CC only states 'abdominal pain.' Generated CC adds 2-day duration and hot/sweaty sensation, which are not present in the gold CC."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,CONTRADICTION,hpi,Generated: mild increase in urinary frequency. Gold ROS explicitly denies urinary frequency ('No dysuria/freq.').
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,hpi,"No mention in gold of prior similar episodes, so this is new information."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,hpi,Gold does not address upper abdominal pain specifically; this negative finding is extra ROS detail.
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,hpi,"Gold denies dyspepsia but does not mention acid reflux; reflux is related but distinct, so this is additional information."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,hpi,No abnormal vaginal discharge is not mentioned in gold; an added negative symptom.
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,hpi,No recent travel is not present in gold facts.
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,pmh,"Gold: PMH nil. Generated: 'nil significant' but mentions usual colds/flus, which adds minor conditions not documented in the gold."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,med,Previous contraceptive implant removal is not mentioned in gold.
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,sh,Generated: averages four beers/week; gold: drinks 1 beer x 4/week (pattern specified). The weekly total is consistent but the omission of per-occasion amount makes it not strictly equivalent; treated as an added/altered detail.
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,asm,Assessment of moderate alcohol use is not discussed in gold facts.
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,plan,"Generated advises urgent review if worsening pain, fever, back pain, new/worsening symptoms. Gold follow-up focuses on temperature, persistent/worsening pain, or recurrent similar symptoms and 'call back'; back pain and 'new symptoms' triggers are additional, and the review modality differs."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,PARTIAL_SUPPORT,plan,"Gold FU: call back if symptoms recur and other triggers. Generated: F2F consult if no improvement or recurrence. 'Recurrence' aligns with gold; 'no improvement' and F2F modality are additions. Because the core recurrence advice is present but modified, this is partially supported."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,plan,Monitoring/reviewing alcohol use is not mentioned in gold plan.
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,plan,"Explicit documentation of allergy to amoxicillin in the chart as a plan step is not in the gold plan section, although the allergy itself is known."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,fu,"Generated FU repeats the urgent review advice including back pain and new/worsening symptoms, which are not in gold. It also differs from 'call back' to a more generic urgent review recommendation."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,PARTIAL_SUPPORT,fu,"Advising F2F consultation if recurrence overlaps with gold advice to call back if recurrent similar symptoms, but adds 'no improvement' and changes the mode of follow-up, so only partially aligned."
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,ros,ROS negative for upper abdominal pain is not stated in gold.
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,ros,ROS negative for acid reflux is not mentioned in gold (which only denies dyspepsia).
gpt-4.1,day5_consultation05.txt,HALLUCINATION,ADDITION,ros,ROS negative for abnormal vaginal discharge is not present in gold facts.
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: stools are watery. Generated facts describe watery/loose in HPI-001, but this is not in the gold, so cannot be used to cover the gold statement. No gold-supported generated fact states that stools are watery."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: sense of urgency with bowel movements. Generated HPI-006 mentions urge to defecate but that detail is not present in any gold fact, so it cannot be used as coverage. No gold‑supported generated fact explicitly covers urgency."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: periumbilical cramps that come in waves. Generated HPI-006/ROS-003 describe peri‑umbilical abdominal pain with intermittent nature, but these details are not supported by any gold text, so they cannot be considered coverage of the gold description of cramps that come in waves."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: cramps worse when needs to open bowels. Generated HPI-006 ties pain to urge to defecate, but this relationship is not present anywhere in the gold facts, so it cannot be used as coverage."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: four bowel movements by midday. Generated HPI-002 (>4x/day, lost count) is more episodes than described in gold and not supported by any gold fact; thus gold fact is not captured."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: patient feels she is not keeping fluids down. No generated fact states she feels she is not holding down fluids; the generated note instead says unable to tolerate food or water, which is a stronger, unsourced statement."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,Gold: normal bowel habit once per day. Generated HPI-010 only says bowel habits were normal prior to illness without the once‑per‑day frequency. Frequency detail from gold is not captured.
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,Gold: no foreign travel. No generated fact addresses foreign travel at all.
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: brother recently had similar GI symptoms. Generated SH-006 mentions brother with similar GI symptoms and school outbreak, but that expanded contact history is not supported by any gold fact, so it cannot be used as gold-backed coverage."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,Gold: mother had similar symptoms and patient was in contact with her. No generated fact mentions the mother’s similar symptoms or contact.
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: patient taking ORT regularly but with difficulty keeping it down. Generated med-003/plan-001 discuss ORS dosing and continuation, but not difficulty keeping it down, so the gold nuance is missing."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,Gold: LMP 2 weeks ago. No generated fact mentions menstrual timing or LMP.
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,Gold: no regular sexual intercourse. No generated fact describes sexual activity frequency.
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,Gold: not using contraception. No generated fact mentions contraceptive use.
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: had been at work until today, now working from home. Generated HPI-014 mentions missed work and working from home, but this wording and concept are not supported by any gold fact; thus cannot be used as coverage in this direction."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,pmh,"Gold: PMH nil/significant history absent. Generated PMH-001 to PMH-003 introduce dysmenorrhea and no GI/surgical history, which are not present in gold. No generated fact explicitly conveys 'no significant past medical history'."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,med,"Gold: patient takes vitamins (non‑specific). Generated med-001: vitamin D daily, and med-002: naproxen, med-003: ORS; none generically state 'vitamins' as in gold."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,sh,"Gold: drinks approximately one pint per week (specific quantity). Generated SH-003: drinks alcohol occasionally, without quantification. Gold's specific intake is not captured."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,fh,"Gold: brother recently experienced similar GI symptoms. Generated SH-006 mentions brother with similar GI symptoms and a school outbreak, but those details are not in any gold fact; cannot be used as coverage from the gold side."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,fh,Gold: mother also experienced similar GI symptoms. No generated fact mentions mother's GI symptoms.
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,asm,"Gold: impression gastroenteritis ?viral/?food poisoning. Generated asm-001: acute infectious gastroenteritis, without explicit viral/food differential; that precise wording is unsupported by gold and thus doesn't cover the nuanced gold assessment."
gpt-4.1,day5_consultation06.txt,OMISSION,OMITTED,plan,"Gold: if fever ongoing, send stool culture to exclude bacterial origin. Generated plan-003 mentions urgent clinic and stool sample, but not conditional on fever or explicitly to exclude bacterial origin; that linkage is not supported by gold text and thus cannot be used as exact coverage."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,cc,"Gold CC only states 'diarrhoea' as presenting complaint. Generated CC adds duration (3 days) and that it is worsening, which are not present in the gold Chief_Complaint."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,hpi,"Duration of 3 days matches gold HPI-001, but description 'initially watery and now very loose' is not in any gold fact. Overall statement introduces unsourced stool-character details."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,hpi,Gold notes 4 bowel movements by midday (hpi-007). Generated states >4/day and lost count; this is more frequent and not documented in gold.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,hpi,Gold confirms vomiting (hpi-008) but does not specify 'including fluids' nor 'last episode ~2 hours ago'. These added specifics are not in gold.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,hpi,"Gold says she doesn't feel like holding down fluid (hpi-009) and is taking ORT with difficulty (hpi-015), but does not explicitly say 'currently unable to tolerate food or water'. This is a stronger, unsourced statement."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,hpi,"Gold describes periumbilical cramps coming in waves and worse when needing to open bowels (hpi-005, hpi-006). Generated adds 'sore to touch' and 'urge to defecate with pain', and does not use the 'cramps/waves' description. These are partially overlapping but incorporate details not present in gold."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,hpi,Gold never mentions hematuria or blood in urine. Generated denial of blood in urine adds a new data point.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,hpi,"Gold specifies normal bowel habit as once daily (hpi-011). Generated only says 'bowel habits were normal prior' without that frequency, thus changes granularity and is not a direct restatement."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,hpi,Gold does not comment on diet prior to illness. Generated 'diet normal prior' introduces new information.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,hpi,"Gold hpi-021: has been at work until today, now working from home. Generated: 'has missed work due to illness and is working from home today.' 'Missed work due to illness' is not in gold; wording differs and adds a cause."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,CONTRADICTION,pmh,"Gold pmh-001: PMH nil (no significant past medical history). Generated PMH-001: history of dysmenorrhea, which constitutes a past medical history and directly conflicts with 'PMH: Nil.'"
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,pmh,"Gold states no significant PMH, but does not specify GI or surgical history separately. Generated 'no chronic GI or surgical hx' is a more specific statement not present in gold, though not logically incompatible."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,pmh,Same source as pmh-002; 'no past surgical history' is not explicitly mentioned in gold but does not contradict it.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,med,"Gold med-001: 'vitamins' non‑specific. Generated: 'vitamin D daily' (specific vitamin), which is new detail not present in gold."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,med,Gold does not mention naproxen. This is an extra medication.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,med,"Gold hpi-015: has been taking ORT regularly with difficulty keeping down, but does not quantify x3/day for 2 days. Generated adds specific regimen and duration."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,sh,"Gold: drinks 1 pint a week (quantified). Generated: 'drinks alcohol occasionally,' which differs in specificity and does not preserve the quantified weekly pint; treated as an unsourced paraphrase rather than a strict restatement."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,sh,Gold does not mention recreational drug use. Generated 'no recreational drugs' is additional info.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,sh,Gold fh-001/hpi-013 only say brother had similar symptoms; no mention of 'school outbreak' or 'potential infectious exposure' via school. Those specifics are added.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,ros,"Gold: periumbilical cramps that come in waves; worse when needing to open bowels (hpi-005, hpi-006). Generated ROS-003 says 'abdominal pain' referencing periumbilical location but changes description from cramps in waves to pain with certain associated descriptors. Not a verbatim restatement and introduces exam‑style description."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,ros,Gold has no statement about blood in urine. This is additional negative review of systems.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,pe,Gold says patient hasn't checked temperature (hpi-017). Generated PE-001 reframes as 'no temperature measured during the visit.' That specific exam detail is not documented in gold.
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,pe,"Gold only records patient history of 'no blood in stool' (hpi-004). It does not document objective observation of stool/urine for blood. Generated PE-003 converts history into objective exam, which is not strictly supported."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,pe,"Gold: 'No rash' documented as history (hpi-016), not an exam finding. Generated states 'no rash was seen on exam,' which is an extrapolation."
gpt-4.1,day5_consultation06.txt,HALLUCINATION,ADDITION,asm,"Gold asm-001: gastroenteritis ?viral/?food poisoning. Generated: 'acute infectious gastroenteritis,' which assumes an infectious etiology and omits the explicit viral/food differential. This wording is not in the gold."
